Sl. No.,Constituency,MP Name,MP Name (Hindi),Initial Party,Date,New Party,state
224,Rewa,Janardan Mishra,जनार्दन मिश्रा,Bharatiya Janata Party,,,Madhya Pradesh
225,Sidhi,Rajesh Mishra,राजेश मिश्रा,Bharatiya Janata Party,,,Madhya Pradesh
226,Shahdol (ST),Himadri Singh,हिमाद्री सिंह,Bharatiya Janata Party,,,Madhya Pradesh
227,Jabalpur,Ashish Dubey,आशिष दुबे,Bharatiya Janata Party,,,Madhya Pradesh
228,Mandla (ST),Faggan Singh Kulaste,फग्गन सिंह कुलस्ते,Bharatiya Janata Party,,,Madhya Pradesh
229,Balaghat (ST),Bharti Pardhi,भारती पारधी,Bharatiya Janata Party,,,Madhya Pradesh
230,Chhindwara,Vivek Kumar Sahu,विवेक कुमार साहु,Bharatiya Janata Party,,,Madhya Pradesh
231,Hoshangabad,Darshan Singh Choudhary,दर्शन सिंह चौधरी,Bharatiya Janata Party,,,Madhya Pradesh
232,Vidisha,Shivraj Singh Chauhan,शिवराज सिंह चौहान,Bharatiya Janata Party,,,Madhya Pradesh
233,Bhopal,Alok Sharma,आलोक शर्मा,Bharatiya Janata Party,,,Madhya Pradesh
234,Rajgarh,Rodmal Nagar,रोडमल नागर,Bharatiya Janata Party,,,Madhya Pradesh
235,Dewas (SC),Mahendra Solanki,महेन्द्र सिंह सोलंकी,Bharatiya Janata Party,,,Madhya Pradesh
236,Ujjain (SC),Anil Firojiya,अनिल फिरोजिया,Bharatiya Janata Party,,,Madhya Pradesh
237,Mandsour,Sudhir Gupta,सुधीर गुप्ता,Bharatiya Janata Party,,,Madhya Pradesh
238,Ratlam (ST),Anita Nagar Singh Chouhan,अनीता नागर सिंह चौहान,Bharatiya Janata Party,,,Madhya Pradesh
239,Dhar (ST),Savitri Thakur,सावित्री ठाकुर,Bharatiya Janata Party,,,Madhya Pradesh
240,Indore,Shankar Lalwani,शंकर लालवानी,Bharatiya Janata Party,,,Madhya Pradesh
241,Khargone,Gajendra Patel,गजेन्द्र पटेल,Bharatiya Janata Party,,,Madhya Pradesh
242,Khandwa,Gyaneswar Patil,ज्ञानेश्वर पाटिल,Bharatiya Janata Party,,,Madhya Pradesh
243,Betul (ST),Durga Das Uikey,दुर्गा दास उइके,Bharatiya Janata Party,,,Madhya Pradesh
244,Nandurbar,Gowaal Kagada Padavi,गोवाल कागडा पदवी,Indian National Congress,,,Maharashtra
245,Dhule,Bachhav Shobha Dinesh,बछाव शोभा दिनेश,Indian National Congress,,,Maharashtra
246,Jalgaon,Smita Wagh,स्मिता वाघ,Bharatiya Janta Party,,,Maharashtra
247,Raver,Raksha Khadse,रक्षा खडसे,Bharatiya Janta Party,,,Maharashtra
248,Buldhana,Prataprao Jadhav,प्रतापराव गणपतराव जाधव,Shiv Sena,,,Maharashtra
249,Akola,Anup Dhotre,अनुप संजय धोत्रे,Bharatiya Janta Party,,,Maharashtra
250,Amravati,Balwant Wankhade,बलवंत बसवंत वानखड़े,Indian National Congress,,,Maharashtra
251,Wardha,Amar Kale,अमर शरदराव काले,Nationalist Congress Party (Sharadchandra Pawar),,,Maharashtra
